run_label	kind	bench	profile	max_sites	hint	status	reason
control-all	control	prefetch_distance_0,prefetch_distance_2,prefetch_distance_4,prefetch_distance_8,prefetch_distance_16,prefetch_distance_32,prefetch_indirect_lookup,prefetch_indirect_two_stage,prefetch_cacheline_dedup_scan,prefetch_packet_offset_guarded,prefetch_full_packet_ring_scan,prefetch_map_page_stride,prefetch_map_indirect_page,prefetch_map_line_dedup,prefetch_upper_page_stride,prefetch_pipeline_page_stride,prefetch_pipeline_horizon1_page_stride,prefetch_pipeline_horizon2_page_stride,prefetch_pipeline_horizon4_page_stride,prefetch_pipeline_degree_page_stride,prefetch_stride64_page_stride,prefetch_stride256_page_stride,prefetch_stride4096_page_stride,prefetch_variable_stride_page_stride,prefetch_spatial_page_footprint,prefetch_struct_field_fixed_offsets,prefetch_mlop_index_field,prefetch_degree123_page_stride,prefetch_mixed_policy_table,prefetch_hot_l1_load,prefetch_sequential_scan,prefetch_large_stride_scan,prefetch_permuted_index_scan,prefetch_packet_first_deref,prefetch_single_first_deref		0	l1keep	ready	control for all implemented and pending micro cases
default-structural	treatment-default	prefetch_distance_0,prefetch_distance_2,prefetch_distance_4,prefetch_distance_8,prefetch_distance_16,prefetch_distance_32,prefetch_indirect_lookup,prefetch_indirect_two_stage,prefetch_cacheline_dedup_scan,prefetch_packet_offset_guarded,prefetch_full_packet_ring_scan,prefetch_hot_l1_load,prefetch_sequential_scan,prefetch_large_stride_scan,prefetch_permuted_index_scan,prefetch_packet_first_deref,prefetch_single_first_deref		0	l1keep	ready	no-profile structural packet/distance/indirect pass
map-page-stride	treatment-profile	prefetch_map_page_stride	/home/ruoji/github/bpf-opt/code/micro/config/prefetch-map-page-stride-profile-pc52.json	1	l1keep	ready	profile-gated map value same-iteration page stride
upper-page-stride	treatment-profile	prefetch_upper_page_stride	/home/ruoji/github/bpf-opt/code/micro/config/prefetch-upper-page-stride-profile-pc62.json	1	l1keep	ready	same-iteration upper-bound page stride
pipeline-page-stride	treatment-profile	prefetch_pipeline_page_stride	/home/ruoji/github/bpf-opt/code/micro/config/prefetch-pipeline-page-stride-profile-pc45-r1.json	1	l1keep	ready	next-iteration future pointer
horizon1	treatment-profile	prefetch_pipeline_horizon1_page_stride	/home/ruoji/github/bpf-opt/code/micro/config/prefetch-pipeline-horizon1-page-stride-profile-pc24-r9.json	1	l1keep	ready	future-address horizon1
horizon2	treatment-profile	prefetch_pipeline_horizon2_page_stride	/home/ruoji/github/bpf-opt/code/micro/config/prefetch-pipeline-horizon2-page-stride-profile-pc23-r6.json	1	l1keep	ready	future-address horizon2
horizon4	treatment-profile	prefetch_pipeline_horizon4_page_stride	/home/ruoji/github/bpf-opt/code/micro/config/prefetch-pipeline-horizon4-page-stride-profile-pc23-r9.json	1	l1keep	ready	future-address horizon4
pipeline-degree	treatment-profile	prefetch_pipeline_degree_page_stride	/home/ruoji/github/bpf-opt/code/micro/config/prefetch-pipeline-degree-page-stride-profile-pc259-r5-pc273-r3-pc287-r0.json	3	l1keep	ready	true degree over i+1/i+2/i+4 future pointers
stride64	treatment-profile	prefetch_stride64_page_stride	/home/ruoji/github/bpf-opt/code/micro/config/prefetch-stride64-page-stride-profile-pc54-r7.json	1	l1keep	ready	PF-LLM-inspired stride-class 64B
stride256	treatment-profile	prefetch_stride256_page_stride	/home/ruoji/github/bpf-opt/code/micro/config/prefetch-stride256-page-stride-profile-pc51-r7.json	1	l1keep	ready	PF-LLM-inspired stride-class 256B
stride4096	treatment-profile	prefetch_stride4096_page_stride	/home/ruoji/github/bpf-opt/code/micro/config/prefetch-stride4096-page-stride-profile-pc239-r0.json	1	l1keep	ready	PF-LLM-inspired page stride
variable-stride	treatment-profile	prefetch_variable_stride_page_stride	/home/ruoji/github/bpf-opt/code/micro/config/prefetch-variable-stride-page-stride-profile-pc44-r4.json	1	l1keep	ready	PF-LLM-inspired variable stride
spatial	treatment-profile	prefetch_spatial_page_footprint	/home/ruoji/github/bpf-opt/code/micro/config/prefetch-spatial-page-footprint-profile-pc333-r0-r7-r5.json	3	l1keep	ready	PF-LLM-inspired spatial within page
mlop	treatment-profile	prefetch_mlop_index_field	/home/ruoji/github/bpf-opt/code/micro/config/prefetch-mlop-index-field-profile-pc67-r6.json	1	l1keep	ready	PF-LLM-inspired multi-level offset / index-field
degree1	treatment-profile	prefetch_degree123_page_stride	/home/ruoji/github/bpf-opt/code/micro/config/prefetch-degree123-page-stride-degree1-profile-pc244-r8.json	1	l1keep	ready	normalized degree 1
degree2	treatment-profile	prefetch_degree123_page_stride	/home/ruoji/github/bpf-opt/code/micro/config/prefetch-degree123-page-stride-degree2-profile-pc244-r8-pc258-r1.json	2	l1keep	ready	normalized degree 2
degree3	treatment-profile	prefetch_degree123_page_stride	/home/ruoji/github/bpf-opt/code/micro/config/prefetch-degree123-page-stride-degree3-profile-pc244-r8-pc258-r1-pc275-r2.json	3	l1keep	ready	normalized degree 3
struct-field	treatment-profile	prefetch_struct_field_fixed_offsets		0	l1keep	pending	no stable future-pointer profile point yet
mixed-policy-table	treatment-profile	prefetch_mixed_policy_table		0	l1keep	pending	requires per-PC policy table/profile schema, not just allow-list
