mode	prog_id	rc	opt_sha256	report_sha256	pass_summary
kinsn5	219	0	c9ae8b2f60150f2b6be8e9889a9df61494005c641271ccda8111e59da26bbb80	40d7a60a41532d49b5a1aca3a6b6a6ac164619435484850171036082bf241359	[{"pass":"bulk_memory","changed":false,"sites":0,"before":1194,"after":1194},{"pass":"rotate","changed":false,"sites":0,"before":1194,"after":1194},{"pass":"cond_select","changed":false,"sites":0,"before":1194,"after":1194},{"pass":"extract","changed":false,"sites":0,"before":1194,"after":1194},{"pass":"endian_fusion","changed":false,"sites":0,"before":1194,"after":1194}]
default11	219	0	c9ae8b2f60150f2b6be8e9889a9df61494005c641271ccda8111e59da26bbb80	c8a0fc9ee46d40b70ddd8f9991112e63d00e6cf6c0f830d341eb549c2b4b042f	[{"pass":"map_inline","changed":false,"sites":0,"before":1194,"after":1194},{"pass":"const_prop","changed":false,"sites":0,"before":1194,"after":1194},{"pass":"dce","changed":false,"sites":0,"before":1194,"after":1194},{"pass":"skb_load_bytes_spec","changed":false,"sites":0,"before":1194,"after":1194},{"pass":"bounds_check_merge","changed":false,"sites":0,"before":1194,"after":1194},{"pass":"wide_mem","changed":false,"sites":0,"before":1194,"after":1194},{"pass":"bulk_memory","changed":false,"sites":0,"before":1194,"after":1194},{"pass":"rotate","changed":false,"sites":0,"before":1194,"after":1194},{"pass":"cond_select","changed":false,"sites":0,"before":1194,"after":1194},{"pass":"extract","changed":false,"sites":0,"before":1194,"after":1194},{"pass":"endian_fusion","changed":false,"sites":0,"before":1194,"after":1194}]
kinsn5	235	0	008c2bf227cfd52edba1333b945fd4e8ad7019facd3fc09d4acb8697037ac15a	3a5b48ff0918b0ce74e3319e22cd4fff1ce173ad1bea83c7d939131d477b5bab	[{"pass":"bulk_memory","changed":false,"sites":0,"before":1110,"after":1110},{"pass":"rotate","changed":false,"sites":0,"before":1110,"after":1110},{"pass":"cond_select","changed":false,"sites":0,"before":1110,"after":1110},{"pass":"extract","changed":false,"sites":0,"before":1110,"after":1110},{"pass":"endian_fusion","changed":false,"sites":0,"before":1110,"after":1110}]
default11	235	0	008c2bf227cfd52edba1333b945fd4e8ad7019facd3fc09d4acb8697037ac15a	cfb4af0a64987eca15f51b9144207100a7c4b91b5f065765e2bc18118bb405d3	[{"pass":"map_inline","changed":false,"sites":0,"before":1110,"after":1110},{"pass":"const_prop","changed":false,"sites":0,"before":1110,"after":1110},{"pass":"dce","changed":false,"sites":0,"before":1110,"after":1110},{"pass":"skb_load_bytes_spec","changed":false,"sites":0,"before":1110,"after":1110},{"pass":"bounds_check_merge","changed":false,"sites":0,"before":1110,"after":1110},{"pass":"wide_mem","changed":false,"sites":0,"before":1110,"after":1110},{"pass":"bulk_memory","changed":false,"sites":0,"before":1110,"after":1110},{"pass":"rotate","changed":false,"sites":0,"before":1110,"after":1110},{"pass":"cond_select","changed":false,"sites":0,"before":1110,"after":1110},{"pass":"extract","changed":false,"sites":0,"before":1110,"after":1110},{"pass":"endian_fusion","changed":false,"sites":0,"before":1110,"after":1110}]
kinsn5	262	0	e3db1173b209afb0d8fdb0f00eddec40157da6be7105835d023c79937e826dd9	17c47678aa486d19d01e294e16edb28e1f2058bae705d0a3f9fdf83c713fd1d6	[{"pass":"bulk_memory","changed":false,"sites":0,"before":2174,"after":2174},{"pass":"rotate","changed":false,"sites":0,"before":2174,"after":2174},{"pass":"cond_select","changed":false,"sites":0,"before":2174,"after":2174},{"pass":"extract","changed":false,"sites":0,"before":2174,"after":2174},{"pass":"endian_fusion","changed":false,"sites":0,"before":2174,"after":2174}]
default11	262	1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	missing	no-report
kinsn5	265	0	29265376651b69b0261517bb6a1aff200fa3619db9dc235a091af9fecb28c247	e9040f68ae51d5962b4fafde1e281dc0c2703f8edcfbd2b72a507901ff64177a	[{"pass":"bulk_memory","changed":false,"sites":0,"before":3582,"after":3582},{"pass":"rotate","changed":false,"sites":0,"before":3582,"after":3582},{"pass":"cond_select","changed":false,"sites":0,"before":3582,"after":3582},{"pass":"extract","changed":false,"sites":0,"before":3582,"after":3582},{"pass":"endian_fusion","changed":false,"sites":0,"before":3582,"after":3582}]
default11	265	1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	missing	no-report
kinsn5	269	0	833442aa3ff84f9944688afc388b608a43fc9bfa03825657aeed7f1298363fed	e9040f68ae51d5962b4fafde1e281dc0c2703f8edcfbd2b72a507901ff64177a	[{"pass":"bulk_memory","changed":false,"sites":0,"before":3582,"after":3582},{"pass":"rotate","changed":false,"sites":0,"before":3582,"after":3582},{"pass":"cond_select","changed":false,"sites":0,"before":3582,"after":3582},{"pass":"extract","changed":false,"sites":0,"before":3582,"after":3582},{"pass":"endian_fusion","changed":false,"sites":0,"before":3582,"after":3582}]
default11	269	1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	missing	no-report
