round	mode	prog_id	app	runner	prog_name	prog_type	verdict	phase	rc	errno	duration_ms	opt_sha256	insn_before	insn_after	sites_applied	summary
1	kinsn5	6	bcc/capable	bcc	cap_capable	kprobe	rejected	bpfverify	1		15	f1e0cbc5de402ac6044c310d962e9992e2336666778c2c63762f1c6b9443af1a	43	43	1	0: R1=ctx() R10=fp0 | 0: (bf) r6 = r1                       ; R1=ctx() R6_w=ctx() | 3: (85) call bpf_get_current_pid_tgid#14      ; R0_w=scalar() | 4: (bf) r7 = r0                       ; R0_w=scalar(id=1) R7_w=scalar(id=1) | 5: (bf) r1 = r9                       ; R1_w=scalar(id=2) R9_w=scalar(id=2) | 6: (57) r1 &= 2                       ; R1_w=scalar(smin=smin32=0,smax=umax=smax32=umax32=2,var_off=(0x0; 0x2)) | 7: (55) if r1 != 0x0 goto pc+33       ; R1_w=0 | 8: (bf) r1 = r7                       ; R1_w=scalar(id=1) R7_w=scalar(id=1)
1	kinsn5	9	bcc/execsnoop	bcc	syscall__execve	kprobe	accepted	bpfverify	0		16	dba25e2708c1549c4960af2511942e65508a24cac16d7eb079da5241a6709658	516	516	0	
1	kinsn5	10	bcc/execsnoop	bcc	do_ret_sys_exec	kprobe	accepted	bpfverify	0		15	3af2c6c7d7abebfaeb21c723b98911bfe49c278a2dce9e43246fc6afb8aa2b53	86	86	0	
1	kinsn5	13	bcc/bindsnoop	bcc	bindsnoop_entry	kprobe	accepted	bpfverify	0		15	1ca41778973f7f924a69d54b05daeab6a40cd9a3cb5b97481c496a168c3fa76b	15	15	0	
1	kinsn5	14	bcc/bindsnoop	bcc	bindsnoop_v4_re	kprobe	rejected	bpfverify	1		14	8c26d43b7003eba61f4675d57dee868b612c507bae33d4357e23eb41be328308	143	143	1	0: R1=ctx() R10=fp0 | 0: (bf) r7 = r1                       ; R1=ctx() R7_w=ctx() | 2: (85) call bpf_get_current_pid_tgid#14      ; R0_w=scalar() | 3: (bf) r8 = r0                       ; R0_w=scalar(id=1) R8_w=scalar(id=1) | 4: (63) *(u32 *)(r10 -4) = r8         ; R8_w=scalar(id=1) R10=fp0 fp-8=mmmm???? | 5: (18) r1 = 0xffff8c184c341c00       ; R1_w=map_ptr(map=currsock,ks=4,vs=8) | 7: (bf) r2 = r10                      ; R2_w=fp0 R10=fp0 | 9: (85) call bpf_map_lookup_elem#1    ; R0=map_value_or_null(id=2,map=currsock,ks=4,vs=8)
1	kinsn5	15	bcc/bindsnoop	bcc	bindsnoop_v6_re	kprobe	rejected	bpfverify	1		14	eb7d6956aebde3073ad3cfe1b6ac5383f6ae2db3c6001b64a4f7ac60fd46d38a	146	146	1	0: R1=ctx() R10=fp0 | 0: (bf) r7 = r1                       ; R1=ctx() R7_w=ctx() | 2: (85) call bpf_get_current_pid_tgid#14      ; R0_w=scalar() | 3: (bf) r8 = r0                       ; R0_w=scalar(id=1) R8_w=scalar(id=1) | 4: (63) *(u32 *)(r10 -4) = r8         ; R8_w=scalar(id=1) R10=fp0 fp-8=mmmm???? | 5: (18) r1 = 0xffff8c1853cb2400       ; R1_w=map_ptr(map=currsock,ks=4,vs=8) | 7: (bf) r2 = r10                      ; R2_w=fp0 R10=fp0 | 9: (85) call bpf_map_lookup_elem#1    ; R0=map_value_or_null(id=2,map=currsock,ks=4,vs=8)
1	kinsn5	18	bcc/biosnoop	bcc	trace_pid_start	tracepoint	accepted	bpfverify	0		14	219dd83cec5d5aa9014f4a8476f7d658ff0f8fe633a5597ec0570ba721ef55fc	56	56	0	
1	kinsn5	19	bcc/biosnoop	bcc	trace_req_start	kprobe	accepted	bpfverify	0		14	18e8032a17a57be43a647ea7bf999bcd6bafa269ded11bcb1b9bc9947ada6145	77	77	0	
1	kinsn5	20	bcc/biosnoop	bcc	trace_req_compl	tracepoint	accepted	bpfverify	0		14	bac60f01428f2ec0a41600e9a94e5b1b24302b60f07bfe8351e13ffbe9b68622	103	103	0	
1	kinsn5	23	bcc/vfsstat	bcc	vfs_create	tracing	rejected	bpfverify	1		13	878121d80ae354df3a44d9cef3e28dd038100bc7a735530e5cadbd9a7f7cf898	12	12	0	processed 0 insns (limit 1000000) max_states_per_insn 0 total_states 0 peak_states 0 mark_read 0
1	kinsn5	24	bcc/vfsstat	bcc	vfs_fsync_range	tracing	accepted	bpfverify	0		14	d3553af7d279fd4a0ee31829f22f3f2c78a093d66d3e364aa13241e1de971229	12	12	0	
1	kinsn5	25	bcc/vfsstat	bcc	vfs_open	tracing	rejected	bpfverify	1		19	1758dd4d5bedf23331a78848887167cb0e5d15f83071ddaddf89955a4e1e587c	12	12	0	processed 0 insns (limit 1000000) max_states_per_insn 0 total_states 0 peak_states 0 mark_read 0
