id	category	venue_or_source	title	local_source	public_url	status	notes
arm-prfm	manual	Arm ISA documentation	PRFM register prefetch memory instruction	/home/ruoji/github/bpf-opt/code/docs/projects/kinsn/tasks/prefetch/literature/sources/manuals/arm-prfm.html	https://developer.arm.com/documentation/ddi0602/2021-12/Base-Instructions/PRFM--register---Prefetch-Memory--register--?lang=en	downloaded	ARM64 PRFM instruction semantics and hint nature.
llvm-prefetch	manual	LLVM LangRef	llvm.prefetch intrinsic	/home/ruoji/github/bpf-opt/code/docs/projects/kinsn/tasks/prefetch/literature/sources/manuals/llvm-prefetch-langref.html	https://llvm.org/docs/LangRef.html#llvm-prefetch-intrinsic	downloaded	Compiler IR-level prefetch semantics.
gcc-builtin	manual	GCC manual	__builtin_prefetch	/home/ruoji/github/bpf-opt/code/docs/projects/kinsn/tasks/prefetch/literature/sources/manuals/gcc-other-builtins.html	https://gcc.gnu.org/onlinedocs/gcc/Other-Builtins.html	downloaded	Manual programmer/compiler prefetch primitive.
gcc-prefetch-project	manual	GCC project documentation	Data Prefetch Support	/home/ruoji/github/bpf-opt/code/docs/projects/kinsn/tasks/prefetch/literature/sources/manuals/gcc-data-prefetch-support.html	https://gcc.gnu.org/projects/prefetch.html	downloaded	GCC target framework and loop prefetch support.
intel-opt-manual	manual	Intel Optimization Reference Manual	Intel 64 and IA-32 Architectures Optimization Reference Manual	/home/ruoji/github/bpf-opt/code/docs/projects/kinsn/tasks/prefetch/literature/sources/manuals/intel-optimization-reference-manual.pdf	https://www.intel.co.jp/content/dam/doc/manual/64-ia-32-architectures-optimization-manual.pdf	downloaded	Industrial guidance for software/hardware prefetch.
intel-oneapi-prefetch	manual	Intel oneAPI compiler docs	prefetch/noprefetch pragma	/home/ruoji/github/bpf-opt/code/docs/projects/kinsn/tasks/prefetch/literature/sources/manuals/intel-oneapi-prefetch.html	https://www.intel.com/content/www/us/en/docs/dpcpp-cpp-compiler/developer-guide-reference/2024-1/prefetch-noprefetch.html	downloaded	Industrial compiler-facing prefetch knobs.
mowry-1992	paper	ASPLOS 1992	Design and Evaluation of a Compiler Algorithm for Prefetching	/home/ruoji/github/bpf-opt/code/docs/projects/kinsn/tasks/prefetch/literature/sources/papers/mowry-1992-compiler-prefetching.pdf	https://suif.stanford.edu/papers/mowry92.pdf	downloaded	Classic affine loop compiler prefetch.
luk-mowry-1996	paper	ASPLOS 1996	Compiler-Based Prefetching for Recursive Data Structures	/home/ruoji/github/bpf-opt/code/docs/projects/kinsn/tasks/prefetch/literature/sources/papers/luk-mowry-1996-recursive-data-structures.pdf	https://www.cs.cmu.edu/~profet/papers/asplos96_RDS_pf.ps.gz	downloaded	Pointer-chasing and jump-pointer prefetch.
ainsworth-jones-2017	paper	CGO 2017	Software Prefetching for Indirect Memory Accesses	/home/ruoji/github/bpf-opt/code/docs/projects/kinsn/tasks/prefetch/literature/sources/papers/ainsworth-jones-2017-indirect-memory-accesses.pdf	https://www.cl.cam.ac.uk/~tmj32/papers/docs/ainsworth17-cgo.pdf	downloaded	Automatic software prefetch for indirect memory accesses.
apt-get-2022	paper	EuroSys 2022	APT-GET: Profile-guided Timely Software Prefetching	/home/ruoji/github/bpf-opt/code/docs/projects/kinsn/tasks/prefetch/literature/sources/papers/apt-get-2022-profile-guided-timely-prefetching.pdf	https://crss.us/media/pubs/763ceada9d994d9493489e730a34adf969f0a7e0.pdf	downloaded	Profile-guided distance and insertion-site selection.
