variant	case	counter	present_samples	missing_samples	error_example
control	prefetch_pipeline_horizon4_page_stride	task_clock_ns	10	0	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
horizon2_l1keep	prefetch_pipeline_horizon2_page_stride	branch_misses	0	10	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
horizon2_l1keep	prefetch_pipeline_horizon2_page_stride	branches	0	10	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
horizon2_l1keep	prefetch_pipeline_horizon2_page_stride	cache_misses	0	10	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
horizon2_l1keep	prefetch_pipeline_horizon2_page_stride	cache_references	0	10	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
horizon2_l1keep	prefetch_pipeline_horizon2_page_stride	cycles	10	0	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
horizon2_l1keep	prefetch_pipeline_horizon2_page_stride	instructions	0	10	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
horizon2_l1keep	prefetch_pipeline_horizon2_page_stride	task_clock_ns	10	0	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
horizon4_l1keep	prefetch_pipeline_horizon4_page_stride	branch_misses	0	10	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
horizon4_l1keep	prefetch_pipeline_horizon4_page_stride	branches	0	10	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
horizon4_l1keep	prefetch_pipeline_horizon4_page_stride	cache_misses	0	10	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
horizon4_l1keep	prefetch_pipeline_horizon4_page_stride	cache_references	0	10	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
horizon4_l1keep	prefetch_pipeline_horizon4_page_stride	cycles	10	0	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
horizon4_l1keep	prefetch_pipeline_horizon4_page_stride	instructions	0	10	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
horizon4_l1keep	prefetch_pipeline_horizon4_page_stride	task_clock_ns	10	0	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
