benchmark	runtime	sample_index	expected	result	status	exec_ns
simple	native	0	12345678	12345678	ok	4
simple	kernel	0	12345678	12345678	ok	13
simple_packet	native	0	12345678	12345678	ok	4
simple_packet	kernel	0	12345678	12345678	ok	13
bitmap_popcount_scan	native	0	12830754992348206170	12830754992348206170	ok	1480
bitmap_popcount_scan	kernel	0	12830754992348206170	12830754992348206170	ok	2183
sorted_rule_binary_search	native	0	126	126	ok	687
sorted_rule_binary_search	kernel	0	126	126	ok	1844
bcc_runqlat_log2_histogram_bucket	native	0	17790125373615940312	17790125373615940312	ok	2115
bcc_runqlat_log2_histogram_bucket	kernel	0	17790125373615940312	17790125373615940312	ok	3982
trace_event_type_switch_dispatch	native	0	16	16	ok	649
trace_event_type_switch_dispatch	kernel	0	16	16	ok	682
packet_checksum_fold	native	0	0	0	ok	26244
packet_checksum_fold	kernel	0	0	0	ok	33082
payload_prefix_memcmp_scan	native	0	9377358970524074984	9377358970524074984	ok	169
payload_prefix_memcmp_scan	kernel	0	9377358970524074984	9377358970524074984	ok	292
packet_vlan_tcpopt_parser	native	0	7124500222221	7124500222221	ok	18
packet_vlan_tcpopt_parser	kernel	0	7124500222221	7124500222221	ok	45
bpf_local_call_fanout_dispatch	native	0	1171593469689687806	1171593469689687806	ok	116
bpf_local_call_fanout_dispatch	kernel	0	1171593469689687806	1171593469689687806	ok	345
flow_5tuple_rss_hash	native	0	11016707074064960918	11016707074064960918	ok	17
flow_5tuple_rss_hash	kernel	0	11016707074064960918	11016707074064960918	ok	38
katran_lb_consistent_hash_select	native	0	5895923248507644458	5895923248507644458	ok	27
katran_lb_consistent_hash_select	kernel	0	5895923248507644458	5895923248507644458	ok	58
cilium_policy_guard_tree_filter	native	0	5333736376993440184	5333736376993440184	ok	122
cilium_policy_guard_tree_filter	kernel	0	5333736376993440184	5333736376993440184	ok	241
siphash_rotate64_mixer	native	0	2666935177028490406	2666935177028490406	ok	44
siphash_rotate64_mixer	kernel	0	2666935177028490406	2666935177028490406	ok	107
packet_record_bounds_window	native	0	1610777047308888911	1610777047308888911	ok	147
packet_record_bounds_window	kernel	0	1610777047308888911	1610777047308888911	ok	341
flow_record_field_scan	native	0	9354240374969449171	9354240374969449171	ok	106
flow_record_field_scan	kernel	0	9354240374969449171	9354240374969449171	ok	185
packed_header_bitfield_decode	native	0	12211926182125163441	12211926182125163441	ok	502
packed_header_bitfield_decode	kernel	0	12211926182125163441	12211926182125163441	ok	901
bpftrace_string_search_prefix_scan	native	0	15111065535037762995	15111065535037762995	ok	361
bpftrace_string_search_prefix_scan	kernel	0	15111065535037762995	15111065535037762995	ok	516
tracee_syscall_name_table_lookup	native	0	4063733557757466536	4063733557757466536	ok	259
tracee_syscall_name_table_lookup	kernel	0	4063733557757466536	4063733557757466536	ok	347
tracee_http_method_prefix_detect	native	0	11562433829591280482	11562433829591280482	ok	38
tracee_http_method_prefix_detect	kernel	0	11562433829591280482	11562433829591280482	ok	79
cilium_socket_lb_service_select	native	0	2868565165525030065	2868565165525030065	ok	334
cilium_socket_lb_service_select	kernel	0	2868565165525030065	2868565165525030065	ok	1037
bcc_tcpconnect_ipv4_tuple_filter	native	0	18109187572642697766	18109187572642697766	ok	163
bcc_tcpconnect_ipv4_tuple_filter	kernel	0	18109187572642697766	18109187572642697766	ok	314
tetragon_process_event_arg_filter	native	0	12641586655603153431	12641586655603153431	ok	276
tetragon_process_event_arg_filter	kernel	0	12641586655603153431	12641586655603153431	ok	524
otel_stack_frame_unwind_scan	native	0	12043289854646947360	12043289854646947360	ok	117
otel_stack_frame_unwind_scan	kernel	0	12043289854646947360	12043289854646947360	ok	381
cilium_ct_nat_tuple_rewrite	native	0	14199193300769829204	14199193300769829204	ok	200
cilium_ct_nat_tuple_rewrite	kernel	0	14199193300769829204	14199193300769829204	ok	455
packet_toeplitz_rss_hash	native	0	13526464303109995596	13526464303109995596	ok	376
packet_toeplitz_rss_hash	kernel	0	13526464303109995596	13526464303109995596	ok	473
bpftrace_comm_key_fnv_hash	native	0	8524536671075880526	8524536671075880526	ok	1290
bpftrace_comm_key_fnv_hash	kernel	0	8524536671075880526	8524536671075880526	ok	1660
tc_packet_checksum_fold	native	0	0	0	ok	26662
tc_packet_checksum_fold	kernel	0	0	0	ok	33147
cgroup_skb_hash_chain	native	0	12027228624407116210	12027228624407116210	ok	425
cgroup_skb_hash_chain	kernel	0	12027228624407116210	12027228624407116210	ok	1038
